user_input,retrieved_contexts,response,reference,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall
Qui est le chef de projet du Projet Néo ?,"['[Document: Note de cadrage - Projet Neo.txt] Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce.', ""[Document: Note de cadrage - Projet Neo.txt] L'équipe clé comprend Marc Dubois comme Chef de Projet, Sophie Martin comme Lead Developer et David Chen comme Expert Data Science.""]",Marc Dubois est le chef de projet du Projet Néo selon les informations du cadrage.,Marc Dubois est le chef de projet du Projet Néo.,1.0,0.7439155023411592,0.9981863796591863,0.49999999995,1.0
Quel est l'objectif principal du Projet Néo ?,"['[Document: Note de cadrage - Projet Neo.txt] Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce.', ""[Document: Note de cadrage - Projet Neo.txt] L'objectif est d'augmenter l'engagement utilisateur de 15% avant la fin de l'année."", ""[Document: Note de cadrage - Projet Neo.txt] Ce projet est une composante clé de l'initiative stratégique Quantum Leap.""]",L'objectif du Projet Néo est de développer un nouvel algorithme de recommandation pour la plateforme e-commerce afin d'augmenter l'engagement utilisateur de 15% d'ici la fin de l'année. Ce projet fait partie de l'initiative stratégique Quantum Leap.,Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce avec un objectif d'augmenter l'engagement utilisateur de 15% avant la fin de l'année.,1.0,0.9938527359183824,0.9857580293050326,0.99999999995,1.0
Qui est le lead developer assigné au projet ?,"[""[Document: Note de cadrage - Projet Neo.txt] L'équipe clé du projet comprend Marc Dubois comme Chef de Projet"", 'Sophie Martin comme Lead Developer et David Chen comme Expert Data Science.']",Sophie Martin est désignée comme Lead Developer pour le Projet Néo.,Sophie Martin est le lead developer assigné au Projet Néo.,1.0,0.9966588152603016,0.9307980344452448,0.49999999995,1.0
Quelles sont les compétences de David Chen ?,"['[Document: Repertoire equipe - Projet Neo.txt] David Chen - Poste : Data Scientist Principal - Manager : Marc Dubois - Projets : Projet Néo - Compétences : Python', 'Scikit-learn', 'TensorFlow', 'NLP.']","David Chen, Data Scientist Principal, maîtrise Python, Scikit-learn, TensorFlow et le NLP (Natural Language Processing).","David Chen possède des compétences en Python, Scikit-learn, TensorFlow et NLP.",1.0,0.9076573013321942,0.88135255674562,0.0,1.0
Qui est le manager de Sophie Martin ?,"['[Document: Repertoire equipe - Projet Neo.txt] Sophie Martin - Poste : Lead Developer - Manager : Marc Dubois - Projets : Projet Néo - Compétences : Python', 'Java', 'Docker', 'TensorFlow.']",Marc Dubois est le manager de Sophie Martin selon l'organigramme de l'équipe.,Marc Dubois est le manager de Sophie Martin.,0.5,0.7456906434128404,0.9705977433826978,0.9999999999,1.0
Quelle est la date limite pour le premier PoC de Sophie Martin ?,"['[Document: Compte-Rendu de Reunion.txt] Prochaines Étapes - Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025.', '[Document: Compte-Rendu de Reunion.txt] Une revue de projet est fixée avec Carole Lambert pour le 15 Mars 2025.']",Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025 selon les décisions de la réunion de kick-off.,Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025.,0.6666666666666666,0.8469844372445359,0.9266497614689634,0.9999999999,1.0
Quel framework a été confirmé pour le modèle principal ?,"[""[Document: Compte-Rendu de Reunion.txt] Décisions Techniques - Confirmation de l'utilisation de TensorFlow pour le modèle principal."", ""[Document: Compte-Rendu de Reunion.txt] Sophie Martin sera responsable de l'implémentation.""]","TensorFlow a été confirmé comme framework pour le modèle principal du projet, avec Sophie Martin responsable de l'implémentation.",TensorFlow a été confirmé comme framework pour le modèle principal.,1.0,0.7412698668600592,0.9678573524102773,0.9999999999,1.0
Qui dirige l'équipe Data Warehouse ?,"[""[Document: Repertoire equipe - Projet Neo.txt] Hélène Petit - Poste : Directrice Data Warehouse - Manager : Carole Lambert - Équipe : Gère l'équipe Data Warehouse.""]",Hélène Petit occupe le poste de Directrice Data Warehouse et gère l'équipe Data Warehouse.,Hélène Petit dirige l'équipe Data Warehouse.,1.0,0.6212414552930818,0.7655119013881507,0.9999999999,1.0
Quelle base de données est envisagée pour le projet ?,['[Document: Note de cadrage - Projet Neo.txt] Technologies envisagées - Langage principal : Python - Framework : TensorFlow - Base de données : Neo4j pour sa capacité à modéliser les relations entre produits.'],Neo4j est la base de données envisagée pour le projet en raison de sa capacité à modéliser efficacement les relations entre produits.,Neo4j est envisagé comme base de données pour sa capacité à modéliser les relations entre produits.,1.0,0.9957087384962232,0.8824340972269265,0.9999999999,1.0
Quand est prévue la revue de projet avec Carole Lambert ?,"['[Document: Compte-Rendu de Reunion.txt] Prochaines Étapes - Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025.', '[Document: Compte-Rendu de Reunion.txt] Une revue de projet est fixée avec Carole Lambert pour le 15 Mars 2025.']",La revue de projet avec Carole Lambert est programmée pour le 15 Mars 2025.,Une revue de projet est fixée avec Carole Lambert pour le 15 Mars 2025.,1.0,0.9969357308992939,0.9906230584717672,0.49999999995,1.0
Quel risque a souligné David Chen concernant les données ?,"['[Document: Compte-Rendu de Reunion.txt] David Chen a souligné un risque concernant la qualité des données historiques.', '[Document: Compte-Rendu de Reunion.txt] Une action est assignée à Marc Dubois pour synchroniser avec Hélène Petit.']","David Chen a identifié un risque majeur concernant la qualité des données historiques, nécessitant une synchronisation avec Hélène Petit.",David Chen a souligné un risque concernant la qualité des données historiques.,0.5,0.8341384253230876,0.942503453344898,0.9999999999,1.0
De quel projet stratégique fait partie le Projet Néo ?,"['[Document: Note de cadrage - Projet Neo.txt] Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce.', ""[Document: Note de cadrage - Projet Neo.txt] L'objectif est d'augmenter l'engagement utilisateur de 15% avant la fin de l'année."", ""[Document: Note de cadrage - Projet Neo.txt] Ce projet est une composante clé de l'initiative stratégique Quantum Leap.""]",Le Projet Néo s'inscrit dans le cadre de l'initiative stratégique 'Quantum Leap' comme composante clé.,Le Projet Néo est une composante clé de l'initiative stratégique 'Quantum Leap'.,1.0,0.74705873126287,0.900546417775281,0.3333333333,1.0
